列車番号,,1501H,1503H,3901M,回251H,1505H,5101M,回253H,回255H,1507H,5103M,1509H,1511H,3101H,3903M,1513H,4105M,4505H,1515H,3103H,1517H,5107M,5707H,3105H,1519H,1521H,2301H,4111M,4711H,3905M,1523H,3109H,4113M,1525H,3111H,3907M,1527H,3113H,1529H,3115H,4115M,4515H,1531H,3117H,1533H,5117M,5517H,1535H,3119H,1537H,3121H,1539H,4119M,4519H,3123H,1541H,3125H,1543H,回257H,4121M,4521H,1545H,回259H,3127H,1547H,4125M,4525H,1549H,3129H,1551H,4127M,4527H,1553H,回1553H,3131H,1555H,4131M,4531H,1557H,3133H,回261H,1559H,4133M,4533H,1561H,4135M,4535H,2303H,1563H,4137M,4537H,2305H,1565H,4139M,4539H,2307H,1567H,4141M,4541H,2309H,1569H,4143M,4543H,2311H,1571H,4145M,4545H,2313H,1573H,4147M,4547H,2315H,1575H,4149M,4549H,2317H,1577H,4151M,4551H,2319H,1579H,4153M,4553H,2321H,1581H,4155M,4555H,2323H,1583H,4157M,4557H,2325H,1585H,4159M,4559H,2327H,1587H,4161M,4561H,2329H,1589H,4163M,4563H,2331H,1591H,4165M,4565H,2333H,1593H,4167M,4567H,2335H,1595H,4169M,4569H,2337H,1597H,4171M,4571H,2339H,1599H,4173M,4573H,2341H,1601H,4175M,4575H,2343H,1603H,4177M,4577H,2345H,1605H,4179M,4579H,3137H,1607H,4181M,4581H,3139H,1609H,回651H,4183M,4583H,3141H,1611H,4185M,4585H,3143H,1613H,4187M,4587H,3145H,1617H,4189M,4589H,3147H,1619H,回659H,4191M,4591H,3149H,1621H,4193M,4593H,1623H,3151H,4195M,4595H,1625H,3153H,4197M,4597H,1627H,3155H,1629H,回669H,4199M,4599H,3157H,1631H,4201M,4601H,1633H,3159H,4203M,4603H,1635H,3161H,4205M,4605H,1637H,3163H,1639H,4207M,4607H,3165H,1641H,回1641H,4209M,4609H,1643H,3167H,4211M,4611H,1645H,3169H,4213M,1647H,3171H,1649H,4215M,4615H,3173H,1651H,4217M,1653H,3175H,4219M,4619H,1655H,3177H,4221M,1657H,3179H,1659H,4223M,1661H,4225M,3181H,1663H,4227M,1665H,4229M,3183H,1667H,4231M,1669H,4233M,4633H,1671H,4235M,4635H,1673H,1675H,4237M,1677H,4239M,1679H,4241M,1681H,1683H
運用番号,,158,67,174+122,62,69,162+144,132+140,66,115,130,126,113,137,171+157,125,180+143,143,154,159+142,173,179+151,151,166+161,116,114,70,163+155,155,179,111,135+123,183+181,61,146+138,163,65,147+139,158,166+161,177+184,184,154,159+142,62,172+176,176,67,135+123,68,185+133,66,128+129,129,165+164,64,121+124,63,166+161,156+182,182,126,146+138,131+160,69,162+144,144,125,169+153,134,130+175,175,148,148,159+142,115,136+170,170,114,135+123,113,65,132+140,140,158,174+122,122,133,173,163+155,155,185,62,179+150,150,124,70,171+157,157,160,116,177+143,143,165,64,172+181,181,148,63,128+183,183,169,125,156+184,184,131,134,176+164,164,159,113,162+129,129,185,173,130+154,154,123,158,136+182,182,133,116,144+142,142,124,125,132+126,126,165,67,174+175,175,148,113,163+170,170,114,173,179+140,140,169,158,171+122,122,160,116,177+155,155,185,125,172+150,150,131,67,128+157,157,123,62,156+181,181,159,64,176+183,183,124,65,162+143,143,168+167,70,70,130+184,184,148,125,136+129,129,179+126,115,144+164,164,171+175,133,132+154,154,146+138,63,63,174+182,182,165+160,114,163+142,142,173,135+169,147+139,139,66,185+123,180+127,127,153,166+161,68,68,177+170,170,179+126,67,172+140,140,69,168+167,128+122,122,62,146+138,156+155,155,64,159+131,65,150+176,176,135+169,124,124,157+162,162,113,171+175,181+130,130,125,166+161,183+136,115,165+160,133,143+144,144,168+167,70,184+132,158,185+123,129+174,174,63,159+131,164+163,66,179+126,173,154+147,153,182+180,146+138,114,142+177,62,145+137,155+181,68,127+128,67,139+172,172,69,140+150,140,64,134,170+156,124,122+157,65,184+132,70,125
天王寺,発,,,,,511,525,,,539,554,555,606,610,,622,626,,630,640,642,645,,654,656,704,709,714,,,716,720,725,727,733,,734,742,743,745,751,,753,800,802,805,,810,815,817,821,823,825,,832,833,842,843,847,849,,856,902,905,907,913,,915,924,925,929,,935,,943,946,953,,959,1004,1010,1012,1015,,1023,1025,,1035,1038,1040,,1049,1053,1055,,1104,1108,1110,,1119,1123,1125,,1134,1138,1140,,1149,1153,1155,,1204,1208,1210,,1219,1223,1225,,1234,1238,1240,,1249,1253,1255,,1304,1308,1310,,1319,1323,1325,,1334,1338,1340,,1349,1353,1355,,1404,1408,1410,,1419,1423,1425,,1434,1438,1440,,1449,1453,1455,,1504,1508,1510,,1519,1523,1525,,1534,1538,1540,,1549,1553,1555,,1604,1608,1610,,1619,1623,,1627,,1635,1638,1643,,1652,1654,1658,,1707,1710,1714,,1723,1725,,1730,,1737,1738,1744,,1747,1752,1759,,1801,1807,1812,,1814,1823,1825,,1830,,1837,1838,1844,,1847,1852,1859,,1901,1907,1912,,1914,1923,1925,1930,,1937,1938,,1944,,1947,1952,1959,,2001,2007,2012,2014,2023,2025,2030,,2037,2038,2044,2047,2052,2059,,2101,2107,2112,2114,2123,2125,2130,2138,2144,2151,2155,2159,2209,2214,2221,2223,2230,2237,2245,,2250,2302,,2304,2318,2324,2333,2342,2352,0,8,24
美章園,発,,,,,514, ﾚ,,,542, ﾚ,558,608, ﾚ,,625, ﾚ,,633, ﾚ,644, ﾚ,, ﾚ,658,706, ﾚ, ﾚ,,,719, ﾚ, ﾚ,729, ﾚ,,737, ﾚ,746, ﾚ, ﾚ,,755, ﾚ,804, ﾚ,,812, ﾚ,819, ﾚ,825, ﾚ,, ﾚ,836, ﾚ,846, ﾚ, ﾚ,,859, ﾚ, ﾚ,909, ﾚ,,917, ﾚ,928, ﾚ,,938,, ﾚ,948, ﾚ,,1002, ﾚ, ﾚ,1014, ﾚ,,1025, ﾚ,, ﾚ,1040, ﾚ,, ﾚ,1055, ﾚ,, ﾚ,1110, ﾚ,, ﾚ,1125, ﾚ,, ﾚ,1140, ﾚ,, ﾚ,1155, ﾚ,, ﾚ,1210, ﾚ,, ﾚ,1225, ﾚ,, ﾚ,1240, ﾚ,, ﾚ,1255, ﾚ,, ﾚ,1310, ﾚ,, ﾚ,1325, ﾚ,, ﾚ,1340, ﾚ,, ﾚ,1355, ﾚ,, ﾚ,1410, ﾚ,, ﾚ,1425, ﾚ,, ﾚ,1440, ﾚ,, ﾚ,1455, ﾚ,, ﾚ,1510, ﾚ,, ﾚ,1525, ﾚ,, ﾚ,1540, ﾚ,, ﾚ,1555, ﾚ,, ﾚ,1610, ﾚ,, ﾚ,1625,, ﾚ,, ﾚ,1640, ﾚ,, ﾚ,1656, ﾚ,, ﾚ,1712, ﾚ,, ﾚ,1728,, ﾚ,, ﾚ,1741, ﾚ,,1749, ﾚ, ﾚ,,1803, ﾚ, ﾚ,,1816, ﾚ,1828,, ﾚ,, ﾚ,1841, ﾚ,,1849, ﾚ, ﾚ,,1903, ﾚ, ﾚ,,1917, ﾚ,1928, ﾚ,, ﾚ,1941,, ﾚ,,1949, ﾚ, ﾚ,,2003, ﾚ, ﾚ,2017, ﾚ,2028, ﾚ,, ﾚ,2041, ﾚ,2049, ﾚ, ﾚ,,2103, ﾚ, ﾚ,2117, ﾚ,2128, ﾚ,2141, ﾚ, ﾚ,2158, ﾚ,2212, ﾚ, ﾚ,2226, ﾚ,2239, ﾚ,,2252, ﾚ,,2307,2320, ﾚ,2335, ﾚ,2354, ﾚ,10,26
南田辺,発,,,,,516, ﾚ,,,544, ﾚ,600,610, ﾚ,,627, ﾚ,,635, ﾚ,646, ﾚ,, ﾚ,700,708, ﾚ, ﾚ,,,721, ﾚ, ﾚ,731, ﾚ,,739, ﾚ,748, ﾚ, ﾚ,,757, ﾚ,807, ﾚ,,815, ﾚ,821, ﾚ,828, ﾚ,, ﾚ,838, ﾚ,848, ﾚ, ﾚ,,901, ﾚ, ﾚ,912, ﾚ,,919, ﾚ,930, ﾚ,,940,, ﾚ,950, ﾚ,,1004, ﾚ, ﾚ,1016, ﾚ,,1027, ﾚ,, ﾚ,1042, ﾚ,, ﾚ,1057, ﾚ,, ﾚ,1112, ﾚ,, ﾚ,1127, ﾚ,, ﾚ,1142, ﾚ,, ﾚ,1157, ﾚ,, ﾚ,1212, ﾚ,, ﾚ,1227, ﾚ,, ﾚ,1242, ﾚ,, ﾚ,1257, ﾚ,, ﾚ,1312, ﾚ,, ﾚ,1327, ﾚ,, ﾚ,1342, ﾚ,, ﾚ,1357, ﾚ,, ﾚ,1412, ﾚ,, ﾚ,1427, ﾚ,, ﾚ,1442, ﾚ,, ﾚ,1457, ﾚ,, ﾚ,1512, ﾚ,, ﾚ,1527, ﾚ,, ﾚ,1542, ﾚ,, ﾚ,1557, ﾚ,, ﾚ,1612, ﾚ,, ﾚ,1627,, ﾚ,, ﾚ,1642, ﾚ,, ﾚ,1659, ﾚ,, ﾚ,1715, ﾚ,, ﾚ,1730,, ﾚ,, ﾚ,1743, ﾚ,,1752, ﾚ, ﾚ,,1806, ﾚ, ﾚ,,1819, ﾚ,1830,, ﾚ,, ﾚ,1843, ﾚ,,1852, ﾚ, ﾚ,,1906, ﾚ, ﾚ,,1919, ﾚ,1930, ﾚ,, ﾚ,1943,, ﾚ,,1952, ﾚ, ﾚ,,2006, ﾚ, ﾚ,2019, ﾚ,2030, ﾚ,, ﾚ,2043, ﾚ,2052, ﾚ, ﾚ,,2106, ﾚ, ﾚ,2119, ﾚ,2130, ﾚ,2143, ﾚ, ﾚ,2200, ﾚ,2214, ﾚ, ﾚ,2228, ﾚ,2241, ﾚ,,2254, ﾚ,,2309,2322, ﾚ,2337, ﾚ,2357, ﾚ,13,28
鶴ヶ丘,発,,,,,518, ﾚ,,,546, ﾚ,602,617, ﾚ,,631, ﾚ,,637, ﾚ,650, ﾚ,, ﾚ,702,714, ﾚ, ﾚ,,,725, ﾚ, ﾚ,733, ﾚ,,741, ﾚ,751, ﾚ, ﾚ,,759, ﾚ,810, ﾚ,,820, ﾚ,826, ﾚ,832, ﾚ,, ﾚ,840, ﾚ,854, ﾚ, ﾚ,,903,912, ﾚ,913, ﾚ,,921, ﾚ,934, ﾚ,,942,, ﾚ,954, ﾚ,,1009, ﾚ,1014?,1020, ﾚ,,1031, ﾚ,, ﾚ,1046, ﾚ,, ﾚ,1101, ﾚ,, ﾚ,1116, ﾚ,, ﾚ,1131, ﾚ,, ﾚ,1146, ﾚ,, ﾚ,1201, ﾚ,, ﾚ,1216, ﾚ,, ﾚ,1231, ﾚ,, ﾚ,1246, ﾚ,, ﾚ,1301, ﾚ,, ﾚ,1316, ﾚ,, ﾚ,1331, ﾚ,, ﾚ,1346, ﾚ,, ﾚ,1401, ﾚ,, ﾚ,1416, ﾚ,, ﾚ,1431, ﾚ,, ﾚ,1446, ﾚ,, ﾚ,1501, ﾚ,, ﾚ,1516, ﾚ,, ﾚ,1531, ﾚ,, ﾚ,1546, ﾚ,, ﾚ,1601, ﾚ,, ﾚ,1616, ﾚ,, ﾚ,1632,, ﾚ,, ﾚ,1648, ﾚ,, ﾚ,1704, ﾚ,, ﾚ,1719, ﾚ,, ﾚ,1735,, ﾚ,, ﾚ,1749, ﾚ,,1758, ﾚ, ﾚ,,1812, ﾚ, ﾚ,,1821, ﾚ,1835,, ﾚ,, ﾚ,1849, ﾚ,,1858, ﾚ, ﾚ,,1912, ﾚ, ﾚ,,1921, ﾚ,1935, ﾚ,, ﾚ,1949,, ﾚ,,1958, ﾚ, ﾚ,,2012, ﾚ, ﾚ,2021, ﾚ,2035, ﾚ,, ﾚ,2049, ﾚ,2058, ﾚ, ﾚ,,2112, ﾚ, ﾚ,2121, ﾚ,2135, ﾚ,2149, ﾚ, ﾚ,2204, ﾚ,2219, ﾚ, ﾚ,2230, ﾚ,2243, ﾚ,,2256, ﾚ,,2311,2324, ﾚ,2339, ﾚ,2359, ﾚ,15,30
長居,発,,,,,520, ﾚ,,,548, ﾚ,604,619, ﾚ,,632, ﾚ,,639, ﾚ,652, ﾚ,, ﾚ,704,716, ﾚ, ﾚ,,,727, ﾚ, ﾚ,735, ﾚ,,743, ﾚ,753, ﾚ, ﾚ,,801, ﾚ,812, ﾚ,,822, ﾚ,828, ﾚ,834, ﾚ,, ﾚ,842, ﾚ,856, ﾚ, ﾚ,,905, ﾚ, ﾚ,915, ﾚ,,923, ﾚ,935, ﾚ,,944,, ﾚ,956, ﾚ,,1011, ﾚ, ﾚ,1022, ﾚ,,1033, ﾚ,, ﾚ,1048, ﾚ,, ﾚ,1103, ﾚ,, ﾚ,1118, ﾚ,, ﾚ,1133, ﾚ,, ﾚ,1148, ﾚ,, ﾚ,1203, ﾚ,, ﾚ,1218, ﾚ,, ﾚ,1233, ﾚ,, ﾚ,1248, ﾚ,, ﾚ,1303, ﾚ,, ﾚ,1318, ﾚ,, ﾚ,1333, ﾚ,, ﾚ,1348, ﾚ,, ﾚ,1403, ﾚ,, ﾚ,1418, ﾚ,, ﾚ,1433, ﾚ,, ﾚ,1448, ﾚ,, ﾚ,1503, ﾚ,, ﾚ,1518, ﾚ,, ﾚ,1533, ﾚ,, ﾚ,1548, ﾚ,, ﾚ,1603, ﾚ,, ﾚ,1618, ﾚ,, ﾚ,1634,, ﾚ,, ﾚ,1650, ﾚ,, ﾚ,1706, ﾚ,, ﾚ,1721, ﾚ,, ﾚ,1737,, ﾚ,, ﾚ,1751, ﾚ,,1800, ﾚ, ﾚ,,1814, ﾚ, ﾚ,,1823, ﾚ,1837,, ﾚ,, ﾚ,1851, ﾚ,,1900, ﾚ, ﾚ,,1914, ﾚ, ﾚ,,1923, ﾚ,1937, ﾚ,, ﾚ,1951,, ﾚ,,2000, ﾚ, ﾚ,,2014, ﾚ, ﾚ,2023, ﾚ,2037, ﾚ,, ﾚ,2051, ﾚ,2100, ﾚ, ﾚ,,2114, ﾚ, ﾚ,2123, ﾚ,2137, ﾚ,2151, ﾚ, ﾚ,2206, ﾚ,2221, ﾚ, ﾚ,2232, ﾚ,2245, ﾚ,,2258, ﾚ,,2313,2326, ﾚ,2341, ﾚ,0, ﾚ,16,32
我孫子町,発,,,,,521, ﾚ,,,549, ﾚ,606,621, ﾚ,,634, ﾚ,,641, ﾚ,654, ﾚ,, ﾚ,706,718, ﾚ, ﾚ,,,728, ﾚ, ﾚ,737, ﾚ,,745, ﾚ,755, ﾚ, ﾚ,,803, ﾚ,814, ﾚ,,824, ﾚ,830, ﾚ,836, ﾚ,, ﾚ,844, ﾚ,858, ﾚ, ﾚ,,907, ﾚ, ﾚ,917, ﾚ,,925, ﾚ,937, ﾚ,,945,, ﾚ,958, ﾚ,,1013, ﾚ, ﾚ,1024, ﾚ,,1035, ﾚ,, ﾚ,1050, ﾚ,, ﾚ,1105, ﾚ,, ﾚ,1120, ﾚ,, ﾚ,1135, ﾚ,, ﾚ,1150, ﾚ,, ﾚ,1205, ﾚ,, ﾚ,1220, ﾚ,, ﾚ,1235, ﾚ,, ﾚ,1250, ﾚ,, ﾚ,1305, ﾚ,, ﾚ,1320, ﾚ,, ﾚ,1335, ﾚ,, ﾚ,1350, ﾚ,, ﾚ,1405, ﾚ,, ﾚ,1420, ﾚ,, ﾚ,1435, ﾚ,, ﾚ,1450, ﾚ,, ﾚ,1505, ﾚ,, ﾚ,1520, ﾚ,, ﾚ,1535, ﾚ,, ﾚ,1550, ﾚ,, ﾚ,1605, ﾚ,, ﾚ,1620, ﾚ,, ﾚ,1636,, ﾚ,, ﾚ,1652, ﾚ,, ﾚ,1708, ﾚ,, ﾚ,1724, ﾚ,, ﾚ,1739,, ﾚ,, ﾚ,1754, ﾚ,,1802, ﾚ, ﾚ,,1816, ﾚ, ﾚ,,1825, ﾚ,1839,, ﾚ,, ﾚ,1854, ﾚ,,1902, ﾚ, ﾚ,,1916, ﾚ, ﾚ,,1925, ﾚ,1939, ﾚ,, ﾚ,1954,, ﾚ,,2002, ﾚ, ﾚ,,2016, ﾚ, ﾚ,2025, ﾚ,2039, ﾚ,, ﾚ,2054, ﾚ,2102, ﾚ, ﾚ,,2116, ﾚ, ﾚ,2125, ﾚ,2139, ﾚ,2153, ﾚ, ﾚ,2209, ﾚ,2223, ﾚ, ﾚ,2234, ﾚ,2247, ﾚ,,2300, ﾚ,,2315,2328, ﾚ,2343, ﾚ,2, ﾚ,18,34
杉本町,発,,,,,524, ﾚ,,,552, ﾚ,608,624, ﾚ,,637, ﾚ,,647, ﾚ,656, ﾚ,, ﾚ,708,722, ﾚ, ﾚ,,,734, ﾚ, ﾚ,741, ﾚ,,751, ﾚ,800, ﾚ, ﾚ,,809, ﾚ,818, ﾚ,,828, ﾚ,834, ﾚ,840, ﾚ,, ﾚ,850, ﾚ,902, ﾚ, ﾚ,,913, 918?, ﾚ,921, ﾚ,,931, ﾚ,942, ﾚ,,950,, ﾚ,1003, ﾚ,,1017, ﾚ,1016?,1028, ﾚ,,1042, ﾚ,, ﾚ,1057, ﾚ,, ﾚ,1112, ﾚ,, ﾚ,1127, ﾚ,, ﾚ,1142, ﾚ,, ﾚ,1157, ﾚ,, ﾚ,1212, ﾚ,, ﾚ,1227, ﾚ,, ﾚ,1242, ﾚ,, ﾚ,1257, ﾚ,, ﾚ,1312, ﾚ,, ﾚ,1327, ﾚ,, ﾚ,1342, ﾚ,, ﾚ,1357, ﾚ,, ﾚ,1412, ﾚ,, ﾚ,1427, ﾚ,, ﾚ,1442, ﾚ,, ﾚ,1457, ﾚ,, ﾚ,1512, ﾚ,, ﾚ,1527, ﾚ,, ﾚ,1542, ﾚ,, ﾚ,1557, ﾚ,, ﾚ,1612, ﾚ,, ﾚ,1627, ﾚ,, ﾚ,1642,, ﾚ,, ﾚ,1659, ﾚ,, ﾚ,1715, ﾚ,, ﾚ,1731, ﾚ,, ﾚ,1745,, ﾚ,, ﾚ,1759, ﾚ,,1806, ﾚ, ﾚ,,1820, ﾚ, ﾚ,,1831, ﾚ,1845,, ﾚ,, ﾚ,1859, ﾚ,,1906, ﾚ, ﾚ,,1920, ﾚ, ﾚ,,1931, ﾚ,1945, ﾚ,, ﾚ,1959,, ﾚ,,2006, ﾚ, ﾚ,,2020, ﾚ, ﾚ,2031, ﾚ,2045, ﾚ,, ﾚ,2059, ﾚ,2106, ﾚ, ﾚ,,2120, ﾚ, ﾚ,2131, ﾚ,2145, ﾚ,2159, ﾚ, ﾚ,2213, ﾚ,2228, ﾚ, ﾚ,2240, ﾚ,2252, ﾚ,,2303, ﾚ,,2319,2333, ﾚ,2350, ﾚ,7, ﾚ,21,37
浅香,発,,,,,526, ﾚ,,,554, ﾚ,610,625, ﾚ,,639, ﾚ,,649, ﾚ,658, ﾚ,, ﾚ,710,724, ﾚ, ﾚ,,,736, ﾚ, ﾚ,743, ﾚ,,753, ﾚ,801, ﾚ, ﾚ,,811, ﾚ,820, ﾚ,,830, ﾚ,836, ﾚ,842, ﾚ,, ﾚ,852, ﾚ,904, ﾚ, ﾚ,,915, ﾚ, ﾚ,923, ﾚ,,933, ﾚ,943, ﾚ,,952,, ﾚ,1005, ﾚ,,1019, ﾚ, ﾚ,1030, ﾚ,,1044, ﾚ,, ﾚ,1059, ﾚ,, ﾚ,1114, ﾚ,, ﾚ,1129, ﾚ,, ﾚ,1144, ﾚ,, ﾚ,1159, ﾚ,, ﾚ,1214, ﾚ,, ﾚ,1229, ﾚ,, ﾚ,1244, ﾚ,, ﾚ,1259, ﾚ,, ﾚ,1314, ﾚ,, ﾚ,1329, ﾚ,, ﾚ,1344, ﾚ,, ﾚ,1359, ﾚ,, ﾚ,1414, ﾚ,, ﾚ,1429, ﾚ,, ﾚ,1444, ﾚ,, ﾚ,1459, ﾚ,, ﾚ,1514, ﾚ,, ﾚ,1529, ﾚ,, ﾚ,1544, ﾚ,, ﾚ,1559, ﾚ,, ﾚ,1614, ﾚ,, ﾚ,1629, ﾚ,, ﾚ,1644,, ﾚ,, ﾚ,1701, ﾚ,, ﾚ,1717, ﾚ,, ﾚ,1733, ﾚ,, ﾚ,1747,, ﾚ,, ﾚ,1801, ﾚ,,1808, ﾚ, ﾚ,,1822, ﾚ, ﾚ,,1833, ﾚ,1847,, ﾚ,, ﾚ,1901, ﾚ,,1908, ﾚ, ﾚ,,1922, ﾚ, ﾚ,,1933, ﾚ,1947, ﾚ,, ﾚ,2001,, ﾚ,,2008, ﾚ, ﾚ,,2022, ﾚ, ﾚ,2033, ﾚ,2047, ﾚ,, ﾚ,2101, ﾚ,2108, ﾚ, ﾚ,,2122, ﾚ, ﾚ,2133, ﾚ,2147, ﾚ,2201, ﾚ, ﾚ,2215, ﾚ,2230, ﾚ, ﾚ,2242, ﾚ,2254, ﾚ,,2305, ﾚ,,2321,2334, ﾚ,2351, ﾚ,9, ﾚ,23,39
堺市,発,,,,,528,533,,,556,602,612,627,618,,641,634,,651,648,700,653,,705,712,726,717,723,,,738,729,735,745,742,,755,752,803,757,801,,813,810,822,815,,832,825,838,829,844,835,,841,853,851,906, ﾚ,858,,916, ﾚ,914,925,922,,934,932,945,937,,953,,951,1006,1004,,1021,1012, ﾚ,1032,1024,,1045,1034,,1043,1100,1049,,1057,1115,1104,,1112,1130,1119,,1127,1145,1134,,1142,1200,1149,,1157,1215,1204,,1212,1230,1219,,1227,1245,1234,,1242,1300,1249,,1257,1315,1304,,1312,1330,1319,,1327,1345,1334,,1342,1400,1349,,1357,1415,1404,,1412,1430,1419,,1427,1445,1434,,1442,1500,1449,,1457,1515,1504,,1512,1530,1519,,1527,1545,1534,,1542,1600,1549,,1557,1615,1604,,1612,1630,1619,,1627,1646,,1635,,1643,1703,1651,,1700,1719,1707,,1715,1735,1723,,1731,1749,,1738,,1747,1803,1753,,1810,1800,1807,,1824,1815,1821,,1835,1832,1849,,1838,,1847,1903,1853,,1910,1900,1907,,1924,1916,1921,,1935,1932,1949,1938,,1947,2003,,1953,,2010,2001,2007,,2024,2015,2021,2035,2032,2049,2038,,2047,2103,2053,2110,2101,2107,,2124,2115,2121,2135,2132,2149,2138,2203,2152,2159,2217,2208,2232,2222,2230,2244,2239,2256,2253,,2307,2312,,2323,2336,2333,2353,2351,11,8,25,41
